map_family,map_size,map,slip,method,budget_frac,n_states,n_basis,n_boundary,state_compression_ratio,n_edges_valid,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,group_test_bits_mean,group_test_bits_cvar,selection_time_sec,kernel_time_sec,upfront_time_sec,smdp_solve_time_sec,compressed_total_time_sec,full_vi_time_sec,full_vi_backup_count,smdp_edge_backup_count,planning_speedup,total_speedup,break_even_tasks,backup_compression_ratio,start_gap,value_gap_max,first_hit_mode,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,boundary,error
open_room,12,open_room_12,0.0,endpoints,0.25,144,24,2,72.0,2,False,1,155.45261238473825,77.72630619236912,0.0,0.0,0.0,0.025735239032655954,0.025735239032655954,9.427196346223354e-05,0.025829510996118188,0.05743583803996444,13248,4,609.2568344879537,2.223651777557703,1,3312.0,3.552713678800501e-15,3.552713678800501e-15,adaptive,21,0.0,,"[0, 143]",
open_room,12,open_room_12,0.0,group_constrained,0.25,144,24,3,48.0,6,True,3,0.0,0.0,nan,nan,46.350466369010974,0.032480832014698535,46.38294720102567,0.001132141042035073,46.38407934206771,0.057115559990052134,13248,138,50.44915595267566,0.0012313612946555045,829,96.0,3.552713678800501e-15,5.329070518200751e-15,adaptive,21,0.0,feasible,"[0, 1, 143]",
open_room,12,open_room_12,0.05,endpoints,0.25,144,24,2,72.0,2,False,0,233.17891857710737,77.72630619236912,0.0,0.0,0.0,0.033003508986439556,0.033003508986439556,0.00017433898756280541,0.03317784797400236,0.14205062697874382,27648,4,814.7955254562337,4.281490080069463,1,6912.0,0.07851000260175311,0.07851000260175311,adaptive,41,3.737375193238174e-07,,"[0, 143]",
open_room,12,open_room_12,0.05,group_constrained,0.25,144,24,4,36.0,12,True,3,0.0,0.0,nan,nan,106.08082288398873,0.04973671794869006,106.13055960193742,0.002978447009809315,106.13353804894723,0.11820227303542197,27648,396,39.68587409684668,0.0011137127359394051,922,69.81818181818181,0.07850997342940502,0.1457738446623722,adaptive,40,9.786729191482513e-07,feasible,"[0, 1, 13, 143]",
four_rooms,11,four_rooms_11,0.0,endpoints,0.25,104,29,2,52.0,2,False,1,155.45261238473825,77.72630619236912,0.0,0.0,0.0,0.021495727996807545,0.021495727996807545,8.947798050940037e-05,0.021585205977316946,0.04021054599434137,8736,4,449.39040605768855,1.8628752506043758,1,2184.0,5.329070518200751e-15,5.329070518200751e-15,adaptive,19,0.0,,"[0, 103]",
four_rooms,11,four_rooms_11,0.0,group_constrained,0.25,104,29,3,34.666666666666664,6,True,3,0.0,0.0,nan,nan,4.959205943043344,0.03197077597724274,4.9911767190205865,0.00019408902153372765,4.99137080804212,0.0450643950025551,8736,18,232.18415264525447,0.009028460664542722,112,485.3333333333333,5.329070518200751e-15,5.329070518200751e-15,adaptive,19,0.0,feasible,"[0, 93, 103]",
four_rooms,11,four_rooms_11,0.05,endpoints,0.25,104,29,2,52.0,2,False,0,233.17891857710737,77.72630619236912,0.0,0.0,0.0,0.028396208013873547,0.028396208013873547,9.345699800178409e-05,0.02848966501187533,0.08378271397668868,19136,4,896.4841132077587,2.9408107796903047,1,4784.0,0.057678470533536697,0.057678470533536697,adaptive,39,7.410245502914625e-07,,"[0, 103]",
four_rooms,11,four_rooms_11,0.05,group_constrained,0.25,104,29,4,26.0,12,True,3,0.0,0.0,nan,nan,14.4892865360016,0.07500333798816428,14.564289873989765,0.0007895469898357987,14.5650794209796,0.08288200100651011,19136,96,104.97412069640971,0.0056904599426438095,178,199.33333333333334,0.05767847577057772,0.05767847577057772,adaptive,39,9.381362634700948e-07,feasible,"[0, 92, 93, 103]",
maze,13,maze_13,0.0,endpoints,0.25,71,33,2,35.5,2,False,1,155.45261238473825,77.72630619236912,0.0,0.0,0.0,0.020195317978505045,0.020195317978505045,8.806801633909345e-05,0.02028338599484414,0.03636415099026635,8236,4,412.9098451616229,1.7928047614688103,1,2059.0,7.105427357601002e-15,7.105427357601002e-15,adaptive,23,0.0,,"[0, 70]",
maze,13,maze_13,0.0,group_constrained,0.25,71,33,5,14.2,20,True,3,0.0,0.0,nan,nan,11.03410943900235,0.059352357988245785,11.093461796990596,0.001989345997571945,11.095451142988168,0.04903213103534654,8236,260,24.64736204521068,0.004419120088355548,236,31.676923076923078,3.552713678800501e-15,3.552713678800501e-15,adaptive,15,0.0,feasible,"[0, 3, 13, 17, 70]",
maze,13,maze_13,0.05,endpoints,0.25,71,33,2,35.5,2,False,0,233.17891857710737,77.72630619236912,0.0,0.0,0.0,0.021266262978315353,0.021266262978315353,8.960004197433591e-05,0.02135586302028969,0.06587343401042745,15052,4,735.1942315975202,3.0845596803015027,1,3763.0,1.5482417126122527e-08,1.5482417126122527e-08,adaptive,42,4.297592946085406e-07,,"[0, 70]",
maze,13,maze_13,0.05,group_constrained,0.25,71,33,4,17.75,12,True,3,0.0,0.0,nan,nan,9.98585268104216,0.06452115997672081,10.050373841018882,0.0029005740070715547,10.053274415025953,0.06720638700062409,15052,336,23.170030082589154,0.006685024622442935,157,44.79761904761905,4.297018385557294e-07,4.297018385557294e-07,adaptive,32,9.671729331683514e-07,feasible,"[0, 2, 3, 70]",
