map,step,method,n_candidates,time_sec,time_per_candidate_sec,relative_to_fd_grad,top1_match_rate,mean_abs_score_error
maze_13,0,fd_grad_operator,16,0.10298577498178929,0.006436610936361831,1.0,,
maze_13,1,fd_grad_operator,15,0.08681325102224946,0.005787550068149964,1.0,,
maze_13,2,fd_grad_operator,14,0.11611640895716846,0.008294029211226319,1.0,,
maze_13,3,fd_grad_operator,13,0.11325676902197301,0.008712059155536385,1.0,,
maze_13,4,fd_grad_operator,12,0.11574466398451477,0.009645388665376231,1.0,,
four_rooms_13,0,fd_grad_operator,14,0.27128758799517527,0.019377684856798232,1.0,,
four_rooms_13,1,fd_grad_operator,13,0.1692942869849503,0.013022637460380793,1.0,,
four_rooms_13,2,fd_grad_operator,12,0.16250971000408754,0.013542475833673961,1.0,,
four_rooms_13,3,fd_grad_operator,11,0.15183902002172545,0.013803547274702314,1.0,,
four_rooms_13,4,fd_grad_operator,10,0.18516476795775816,0.018516476795775817,1.0,,
open_room_9,0,fd_grad_operator,2,0.057234817009884864,0.028617408504942432,1.0,,
open_room_9,1,fd_grad_operator,1,0.08874324400676414,0.08874324400676414,1.0,,
open_room_9,2,fd_grad_operator,0,0.0,0.0,1.0,,
four_rooms_13,all,truncated_green_K1,,0.004054515401367098,,,0.0,0.028924330082244994
four_rooms_13,all,truncated_green_K2,,0.0038881117943674326,,,0.0,0.028924330082244994
four_rooms_13,all,truncated_green_K4,,0.004219439195003361,,,0.4,0.01785491054763577
four_rooms_13,all,truncated_green_K8,,0.004473208577837795,,,0.4,0.015749947344426758
four_rooms_13,all,truncated_green_K16,,0.005303026805631816,,,1.0,0.003547000448727014
four_rooms_13,all,truncated_green_K32,,0.004850784409791231,,,1.0,1.8962169332715305e-08
maze_13,all,truncated_green_K1,,0.0030656005954369904,,,0.4,0.015770833248193658
maze_13,all,truncated_green_K2,,0.0029856826062314213,,,0.4,0.014078645748193657
maze_13,all,truncated_green_K4,,0.0029864883981645107,,,0.6,0.0010512904459401607
maze_13,all,truncated_green_K8,,0.0043138889945112165,,,0.8,4.33713078073065e-06
maze_13,all,truncated_green_K16,,0.003985431813634932,,,0.8,6.836831511108008e-11
maze_13,all,truncated_green_K32,,0.003664856997784227,,,0.8,8.604228440878648e-18
open_room_9,all,truncated_green_K1,,0.0013242133427411318,,,0.6666666666666666,0.14656937215741603
open_room_9,all,truncated_green_K2,,0.0013186886596182983,,,0.6666666666666666,0.14656937215741603
open_room_9,all,truncated_green_K4,,0.0013033730016710858,,,0.6666666666666666,0.14656937215741603
open_room_9,all,truncated_green_K8,,0.0012561523083907862,,,1.0,0.019413789493675695
open_room_9,all,truncated_green_K16,,0.0014995303354226053,,,1.0,9.548939440074486e-07
open_room_9,all,truncated_green_K32,,0.0027039473255475364,,,1.0,2.442541570114092e-15
