method,map,slip,n_boundary,sample_rollouts_per_option,replicate,feasible_estimated_model,mc_option_rollouts,mc_timeout_count,mc_timeout_rate,kernel_gamma_l1_mean,kernel_hit_l1_mean,kernel_reward_abs_mean,success_rate,primitive_steps_mean,primitive_steps_success_mean,option_steps_mean,hidden_audit_crossings_mean,hidden_audit_distinct_mean,start_value_exact_opt,start_value_estimated_model,start_value_exact_under_est_policy,estimated_model_start_error,policy_value_loss_exact,policy_disagreement
betweenness_12,maze,0.05,12,1,0,True,132.0,0.0,0.0,0.046841154750325506,0.050689335887249616,0.30930457521763427,1.0,38.9,38.9,11.4,7.66,7.02,-23.006540118853835,-22.199077937496824,-23.017958456482877,0.8074621813570104,0.011418337629041986,0.18181818181818182
betweenness_12,maze,0.05,12,1,1,True,132.0,0.0,0.0,0.05432544256043547,0.050689335935891006,0.2513210257022602,0.99,173.71,165.64646464646464,138.58,7.61,7.08,-23.006540118853835,-22.199077937496824,-31.10119853631248,0.8074621813570104,8.094658417458646,0.45454545454545453
betweenness_12,maze,0.05,12,1,2,True,132.0,0.0,0.0,0.03864776591262608,0.03606028682408328,0.18277512248309707,1.0,38.69,38.69,11.32,7.49,7.02,-23.006540118853835,-22.85711243139076,-23.017958456482877,0.14942768746307422,0.011418337629041986,0.09090909090909091
betweenness_12,maze,0.05,12,2,0,True,264.0,0.0,0.0,0.04319733637577552,0.04259111232042601,0.1724246400768353,1.0,38.34,38.34,11.3,7.43,7.02,-23.006540118853835,-22.530600391907853,-23.017958456482877,0.4759397269459811,0.011418337629041986,0.2727272727272727
betweenness_12,maze,0.05,12,2,1,True,264.0,0.0,0.0,0.05040381097939507,0.04964440385647617,0.14678493153138825,1.0,38.53,38.53,11.34,7.61,7.1,-23.006540118853835,-22.530600391907853,-23.017958456482837,0.4759397269459811,0.011418337629002906,0.45454545454545453
betweenness_12,maze,0.05,12,2,2,True,264.0,0.0,0.0,0.04392503836209834,0.04259095423690416,0.2008666058041067,1.0,38.21,38.21,11.32,7.53,7.02,-23.006540118853835,-22.199077937496824,-23.017958456482877,0.8074621813570104,0.011418337629041986,0.09090909090909091
betweenness_12,maze,0.05,12,5,0,True,660.0,0.0,0.0,0.02835985333157661,0.028954748684062358,0.1337463574380588,1.0,38.83,38.83,11.26,7.62,7.0,-23.006540118853835,-22.462320522894412,-23.017958456482877,0.5442195959594223,0.011418337629041986,0.18181818181818182
betweenness_12,maze,0.05,12,5,1,True,660.0,0.0,0.0,0.04251846723279525,0.044001296377070474,0.15092733256659988,1.0,38.63,38.63,11.28,7.58,7.02,-23.006540118853835,-22.7212399459254,-23.017958456482837,0.2853001729284337,0.011418337629002906,0.2727272727272727
betweenness_12,maze,0.05,12,5,2,True,660.0,0.0,0.0,0.0353696352424812,0.036478101523685975,0.170835703170899,1.0,38.76,38.76,11.32,7.57,7.02,-23.006540118853835,-22.26588346987184,-23.006540118862855,0.740656648981993,9.020340030474472e-12,0.18181818181818182
betweenness_12,maze,0.05,12,10,0,True,1320.0,0.0,0.0,0.033357050014071875,0.03386592940867073,0.1071224096830802,1.0,38.36,38.36,11.26,7.5,7.02,-23.006540118853835,-22.62307398120504,-23.017958456482877,0.3834661376487958,0.011418337629041986,0.7272727272727273
betweenness_12,maze,0.05,12,10,1,True,1320.0,0.0,0.0,0.03377041450144872,0.0343359908095269,0.09342722103264697,1.0,38.55,38.55,11.24,7.52,7.02,-23.006540118853835,-22.49493943044198,-23.017958456482877,0.5116006884118534,0.011418337629041986,0.5454545454545454
betweenness_12,maze,0.05,12,10,2,True,1320.0,0.0,0.0,0.03580801696663899,0.03636460037703564,0.0969420505535603,1.0,38.54,38.54,11.26,7.48,7.0,-23.006540118853835,-22.494840122214356,-23.017958456482837,0.5116999966394786,0.011418337629002906,0.36363636363636365
betweenness_12,maze,0.05,12,20,0,True,2640.0,0.0,0.0,0.028286478285529847,0.02945093328962116,0.07851667567526754,1.0,38.58,38.58,11.18,7.64,7.06,-23.006540118853835,-22.711581488754497,-23.006540118862855,0.2949586300993374,9.020340030474472e-12,0.5454545454545454
betweenness_12,maze,0.05,12,20,1,True,2640.0,0.0,0.0,0.03475784525250203,0.03605965448999583,0.08203545808993644,1.0,38.9,38.9,11.26,7.64,7.0,-23.006540118853835,-22.653252355668535,-23.01795845638689,0.35328776318529975,0.011418337533054768,0.45454545454545453
betweenness_12,maze,0.05,12,20,2,True,2640.0,0.0,0.0,0.024590136431724207,0.025183669093254507,0.07647102893340725,1.0,38.93,38.93,11.3,7.65,7.04,-23.006540118853835,-22.61151402389053,-23.017958456482877,0.3950260949633062,0.011418337629041986,0.6363636363636364
betweenness_12,maze,0.05,12,50,0,True,6600.0,0.0,0.0,0.016742287481161657,0.017638469012790554,0.0484543557789783,1.0,38.27,38.27,11.14,7.56,7.06,-23.006540118853835,-22.71116627708028,-23.01795823505949,0.29537384177355364,0.011418116205653916,0.6363636363636364
betweenness_12,maze,0.05,12,50,1,True,6600.0,0.0,0.0,0.015721081448896085,0.016029766443642596,0.0438624702192418,1.0,39.03,39.03,11.22,7.63,7.02,-23.006540118853835,-22.782351251630377,-23.017958456482877,0.22418886722345732,0.011418337629041986,0.6363636363636364
betweenness_12,maze,0.05,12,50,2,True,6600.0,0.0,0.0,0.014841017515812467,0.01527676438114977,0.05262337608541786,1.0,38.9,38.9,11.34,7.62,7.04,-23.006540118853835,-22.73920601897897,-23.017958456482837,0.26733409987486567,0.011418337629002906,0.7272727272727273
graph_rd_joint,maze,0.05,24,1,0,True,552.0,0.0,0.0,0.009714516216017054,0.0016929258640387642,0.28078947116761144,1.0,38.36,38.36,10.04,2.18,2.06,-23.006540118862677,-22.19907793749682,-23.047788676436465,0.8074621813658567,0.041248557573787537,0.2608695652173913
graph_rd_joint,maze,0.05,24,1,1,True,552.0,0.0,0.0,0.013088204769789861,0.005191214518320633,0.28637676663673733,1.0,38.88,38.88,10.0,2.32,2.02,-23.006540118862677,-22.19907793749682,-23.017958592125833,0.8074621813658567,0.011418473263155704,0.30434782608695654
graph_rd_joint,maze,0.05,24,1,2,True,552.0,0.0,0.0,0.00917547095607122,0.0016929258640387642,0.259019509481617,1.0,38.83,38.83,10.02,2.19,2.01,-23.006540118862677,-22.19907793749682,-23.047788677430226,0.8074621813658567,0.041248558567549054,0.21739130434782608
graph_rd_joint,maze,0.05,24,2,0,True,1104.0,0.0,0.0,0.00873203490849638,0.0016929258640387642,0.24489496058314453,1.0,38.48,38.48,10.0,2.17,2.04,-23.006540118862677,-22.19907793749682,-23.047788676436465,0.8074621813658567,0.041248557573787537,0.2608695652173913
graph_rd_joint,maze,0.05,24,2,1,True,1104.0,0.0,0.0,0.009684395636131882,0.0033796203154220837,0.22868801365563743,1.0,38.69,38.69,10.02,2.21,2.04,-23.006540118862677,-22.19907793749682,-23.047788676436465,0.8074621813658567,0.041248557573787537,0.30434782608695654
graph_rd_joint,maze,0.05,24,2,2,True,1104.0,0.0,0.0,0.010545842634776734,0.0033795825357029324,0.2558915179824128,1.0,38.61,38.61,10.02,2.33,2.08,-23.006540118862677,-22.19907793749682,-23.047788675441968,0.8074621813658567,0.04124855657929061,0.21739130434782608
graph_rd_joint,maze,0.05,24,5,0,True,2760.0,0.0,0.0,0.008860649737488213,0.004339446105441878,0.18138406864009804,1.0,38.46,38.46,10.02,2.24,2.06,-23.006540118862677,-22.199077937496803,-23.04778867643673,0.8074621813658744,0.04124855757405399,0.391304347826087
graph_rd_joint,maze,0.05,24,5,1,True,2760.0,0.0,0.0,0.006515372000021541,0.0016929258640387642,0.17675318269107457,1.0,38.82,38.82,14.0,0.0,0.0,-23.006540118862677,-22.19907793749681,-23.017670254069472,0.8074621813658673,0.011130135206794733,0.34782608695652173
graph_rd_joint,maze,0.05,24,5,2,True,2760.0,0.0,0.0,0.008251427681340873,0.003737441381216904,0.1728031242899801,1.0,38.57,38.57,14.04,0.0,0.0,-23.006540118862677,-22.19907793749681,-23.028156186812158,0.8074621813658673,0.021616067949480566,0.5217391304347826
graph_rd_joint,maze,0.05,24,10,0,True,5520.0,0.0,0.0,0.005825037909159182,0.0028879026227417153,0.11981590389304905,1.0,38.45,38.45,14.0,0.0,0.0,-23.006540118862677,-22.23248070368432,-23.01767393040927,0.7740594151783569,0.011133811546592653,0.6086956521739131
graph_rd_joint,maze,0.05,24,10,1,True,5520.0,0.0,0.0,0.005227265757527192,0.0020530150502149065,0.12446772032204664,1.0,38.48,38.48,14.06,0.0,0.0,-23.006540118862677,-22.23248070368432,-23.028156186812158,0.7740594151783569,0.021616067949480566,0.5217391304347826
graph_rd_joint,maze,0.05,24,10,2,True,5520.0,0.0,0.0,0.006736179974826323,0.0036000478884102116,0.1267371530480802,1.0,39.28,39.28,14.06,0.0,0.0,-23.006540118862677,-22.19907793749681,-23.028156186701736,0.8074621813658673,0.021616067839058672,0.6086956521739131
graph_rd_joint,maze,0.05,24,20,0,True,11040.0,0.0,0.0,0.0045056895795186624,0.002380233404704475,0.08810827392224807,1.0,38.21,38.21,14.02,0.0,0.0,-23.006540118862677,-22.348119885563502,-23.017661075125705,0.6584202332991751,0.011120956263027892,0.8260869565217391
graph_rd_joint,maze,0.05,24,20,1,True,11040.0,0.0,0.0,0.004253917482941294,0.002153077774606774,0.08523184381192483,1.0,38.19,38.19,13.96,0.02,0.02,-23.006540118862677,-22.364125964974207,-23.028159417971164,0.6424141538884705,0.0216192991084867,0.9130434782608695
graph_rd_joint,maze,0.05,24,20,2,True,11040.0,0.0,0.0,0.0045750267847786755,0.0024546762655098357,0.08869896393344308,1.0,38.71,38.71,14.0,0.0,0.0,-23.006540118862677,-22.31551256828615,-23.017661075236127,0.6910275505765284,0.011120956373449786,0.8260869565217391
graph_rd_joint,maze,0.05,24,50,0,True,27600.0,0.0,0.0,0.003415549705751392,0.0021493879284494926,0.05668837995787885,1.0,38.59,38.59,14.08,0.0,0.0,-23.006540118862677,-22.551348595742496,-23.087647390366296,0.4551915231201811,0.08110727150361896,0.8695652173913043
graph_rd_joint,maze,0.05,24,50,1,True,27600.0,0.0,0.0,0.002844749269083384,0.0015595250119004016,0.05417732149248962,1.0,38.74,38.74,14.02,0.0,0.0,-23.006540118862677,-22.55921806138864,-23.017661075236127,0.447322057474036,0.011120956373449786,0.8695652173913043
graph_rd_joint,maze,0.05,24,50,2,True,27600.0,0.0,0.0,0.00297515082761583,0.0017045672593846298,0.05404440038701943,1.0,38.49,38.49,14.04,0.0,0.0,-23.006540118862677,-22.59719819518953,-23.028159020132556,0.40934192367314637,0.02161890126987842,0.8695652173913043
